hour,minute,second,brightness,elapsedSeconds,isSunset,isManualMode
10,50,0,100,16319,0,0
10,51,0,100,16380,0,0
10,52,0,100,16439,0,0
10,53,0,100,16499,0,0
10,54,0,100,16559,0,0
10,55,0,100,16619,0,0
10,56,0,100,16679,0,0
10,57,0,100,16739,0,0
10,58,0,100,16799,0,0
10,59,0,100,16859,0,0
11,0,0,100,16919,0,0
11,1,0,100,16979,0,0
11,2,0,100,17039,0,0
11,3,0,100,17099,0,0
11,4,0,100,17159,0,0
11,5,0,100,17219,0,0
11,6,0,100,17279,0,0
11,7,0,100,17339,0,0
11,8,0,100,17399,0,0
11,9,0,100,17459,0,0
11,10,0,100,17519,0,0
11,11,0,100,17579,0,0
11,12,0,100,17639,0,0
11,13,0,100,17699,0,0
11,14,0,100,17759,0,0
11,15,0,100,17819,0,0
11,16,0,100,17879,0,0
11,17,0,100,17939,0,0
11,18,0,100,17999,0,0
11,19,0,100,18059,0,0
11,20,0,100,18119,0,0
11,21,0,100,18179,0,0
11,22,0,100,18239,0,0
11,23,0,100,18299,0,0
11,24,0,100,18359,0,0
11,25,0,100,18419,0,0
11,26,0,100,18479,0,0
11,27,0,100,18539,0,0
11,28,0,100,18599,0,0
11,29,0,100,18659,0,0
11,30,0,100,18719,0,0
11,31,0,100,18779,0,0
11,32,0,100,18839,0,0
11,33,0,100,18899,0,0
11,34,0,100,18959,0,0
11,35,0,100,19019,0,0
11,36,0,100,19079,0,0
11,37,0,100,19139,0,0
11,38,0,100,19199,0,0
11,39,0,100,19259,0,0
11,40,0,100,19319,0,0
11,41,0,100,19379,0,0
11,42,0,100,19439,0,0
11,43,0,100,19499,0,0
11,44,0,100,19559,0,0
11,45,0,100,19619,0,0
11,46,0,100,19679,0,0
11,47,0,100,19739,0,0
11,48,0,100,19799,0,0
11,49,0,100,19859,0,0
11,50,0,100,19919,0,0
11,51,0,100,19979,0,0
11,52,0,100,20039,0,0
11,53,0,100,20099,0,0
11,54,0,100,20159,0,0
11,55,0,100,20219,0,0
11,56,0,100,20279,0,0
11,57,0,100,20339,0,0
11,58,0,100,20399,0,0
11,59,0,100,20459,0,0
12,0,0,100,20519,0,0
12,1,0,100,20579,0,0
12,2,0,100,20639,0,0
12,3,0,100,20699,0,0
12,4,0,100,20759,0,0
12,5,0,100,20819,0,0
12,6,0,100,20879,0,0
12,7,0,100,20939,0,0
12,8,0,100,20999,0,0
12,9,0,100,21059,0,0
12,10,0,100,21119,0,0
12,11,0,100,21179,0,0
12,12,0,100,21239,0,0
12,13,0,100,21299,0,0
12,14,0,100,21359,0,0
12,15,0,100,21419,0,0
12,16,0,100,21479,0,0
12,17,0,100,21539,0,0
12,18,0,100,21599,0,0
12,19,0,100,21659,0,0
12,20,0,100,21719,0,0
12,21,0,100,21779,0,0
12,22,0,100,21839,0,0
12,23,0,100,21899,0,0
12,24,0,100,21959,0,0
12,25,0,100,22019,0,0
12,26,0,100,22079,0,0
12,27,0,100,22139,0,0
12,28,0,100,22199,0,0
12,29,0,100,22259,0,0
12,30,0,100,22319,0,0
12,31,0,100,22379,0,0
12,32,0,100,22439,0,0
12,33,0,100,22499,0,0
12,34,0,100,22559,0,0
12,35,0,100,22619,0,0
12,36,0,100,22679,0,0
12,37,0,100,22739,0,0
12,38,0,100,22799,0,0
12,39,0,100,22859,0,0
12,40,0,100,22919,0,0
12,41,0,100,22979,0,0
12,42,0,100,23039,0,0
12,43,0,100,23099,0,0
12,44,0,100,23159,0,0
12,45,0,100,23219,0,0
12,46,0,100,23279,0,0
12,47,0,100,23339,0,0
12,48,0,100,23399,0,0
12,49,0,100,23459,0,0
12,50,0,100,23519,0,0
12,51,0,100,23579,0,0
12,52,0,100,23639,0,0
12,53,0,100,23699,0,0
12,54,0,100,23759,0,0
12,55,0,100,23819,0,0
12,56,0,100,23879,0,0
12,57,0,100,23939,0,0
12,58,0,100,23999,0,0
12,59,0,100,24059,0,0
13,0,0,100,24119,0,0
13,1,0,100,24179,0,0
13,2,0,100,24239,0,0
13,3,0,100,24299,0,0
13,4,0,100,24359,0,0
13,5,0,100,24419,0,0
13,6,0,100,24479,0,0
13,7,0,100,24539,0,0
13,8,0,100,24599,0,0
13,9,0,100,24659,0,0
13,10,0,100,24719,0,0
13,11,0,100,24779,0,0
13,12,0,100,24839,0,0
13,13,0,100,24899,0,0
13,14,0,100,24959,0,0
13,15,0,100,25019,0,0
13,16,0,100,25079,0,0
13,17,0,100,25139,0,0
13,18,0,100,25199,0,0
13,19,0,100,25259,0,0
13,20,0,100,25319,0,0
13,21,0,100,25379,0,0
13,22,0,100,25439,0,0
13,23,0,100,25499,0,0
13,24,0,100,25559,0,0
13,25,0,100,25619,0,0
13,26,0,100,25679,0,0
13,27,0,100,25739,0,0
13,28,0,100,25799,0,0
13,29,0,100,25859,0,0
13,30,0,100,25919,0,0
13,31,0,100,25979,0,0
13,32,0,100,26039,0,0
13,33,0,100,26099,0,0
13,34,0,100,26159,0,0
13,35,0,100,26219,0,0
13,36,0,100,26279,0,0
13,37,0,100,26339,0,0
13,38,0,100,26399,0,0
