hour,minute,second,brightness,elapsedSeconds,isClockOn
3,59,0,3786,3315,1
4,0,0,3851,3375,1
4,1,0,3916,3435,1
4,2,0,3981,3495,1
4,3,0,4046,3555,1
4,4,0,4095,3615,1
4,5,0,4095,3675,1
4,6,0,4095,3735,1
4,7,0,4095,3795,1
4,8,0,4095,3855,1
4,9,0,4095,3915,1
4,10,0,4095,3975,1
4,11,0,4095,4035,1
4,12,0,4095,4095,1
4,13,0,4095,4155,1
4,14,0,4095,4215,1
4,15,0,4095,4275,1
4,16,0,4095,4335,1
4,17,0,4095,4395,1
4,18,0,4095,4455,1
4,19,0,4095,4515,1
4,20,0,4095,4575,1
4,21,0,4095,4635,1
4,22,0,4095,4695,1
4,23,0,4095,4755,1
4,24,0,4095,4815,1
4,25,0,4095,4875,1
4,26,0,4095,4935,1
4,27,0,4095,4995,1
4,28,0,4095,5055,1
4,29,0,4095,5115,1
4,30,0,4095,5175,1
4,31,0,4095,5235,1
4,32,0,4095,5295,1
4,33,0,4095,5355,1
4,34,0,4095,5415,1
4,35,0,4095,5475,1
4,36,0,4095,5535,1
4,37,0,4095,5595,1
4,38,0,4095,5655,1
4,39,0,4095,5715,1
4,40,0,4095,5775,1
4,41,0,4095,5835,1
4,42,0,4095,5895,1
4,43,0,4095,5955,1
4,44,0,4095,6015,1
4,45,0,4095,6075,1
4,46,0,4095,6135,1
4,47,0,4095,6195,1
4,48,0,4095,6255,1
4,49,0,4095,6315,1
4,50,0,4095,6375,1
4,51,0,4095,6435,1
4,52,0,4095,6495,1
4,53,0,4095,6555,1
4,54,0,4095,6615,1
4,55,0,4095,6675,1
4,56,0,4095,6735,1
4,57,0,4095,6795,1
4,58,0,4095,6855,1
4,59,0,4095,6915,1
5,0,0,4095,6975,1
5,1,0,4095,7035,1
5,2,0,4095,7095,1
5,3,0,4095,7155,1
5,4,0,4095,7215,1
5,5,0,4095,7275,1
5,6,0,4095,7335,1
5,7,0,4095,7395,1
5,8,0,4095,7455,1
5,9,0,4095,7515,1
5,10,0,4095,7575,1
5,11,0,4095,7635,1
5,12,0,4095,7695,1
5,13,0,4095,7755,1
5,14,0,4095,7815,1
5,15,0,4095,7875,1
5,16,0,4095,7935,1
5,17,0,4095,7995,1
5,18,0,4095,8055,1
5,19,0,4095,8115,1
5,20,0,4095,8175,1
5,21,0,4095,8235,1
5,22,0,4095,8295,1
5,23,0,4095,8355,1
5,24,0,4095,8415,1
5,25,0,4095,8475,1
5,26,0,4095,8535,1
5,27,0,4095,8595,1
5,28,0,4095,8655,1
5,29,0,4095,8715,1
5,30,0,4095,8775,1
5,31,0,4095,8835,1
5,32,0,4095,8895,1
5,33,0,4095,8955,1
5,34,0,4095,9015,1
5,35,0,4095,9075,1
5,36,0,4095,9135,1
5,37,0,4095,9195,1
5,38,0,4095,9255,1
5,39,0,4095,9315,1
5,40,0,4037,53,0
5,41,0,3972,113,0
5,42,0,3907,173,0
5,43,0,3842,233,0
5,44,0,3777,293,0
5,45,0,3713,353,0
5,46,0,3648,413,0
5,47,0,3583,473,0
5,48,0,3518,533,0
5,49,0,3453,593,0
5,50,0,3388,653,0
5,51,0,3323,713,0
5,52,0,3258,773,0
5,53,0,3193,833,0
5,54,0,3128,893,0
5,55,0,3063,953,0
5,56,0,2998,1013,0
5,57,0,2934,1073,0
5,58,0,2869,1133,0
5,59,0,2804,1193,0
6,0,0,2739,1253,0
6,1,0,2674,1313,0
6,2,0,2609,1373,0
6,3,0,2544,1433,0
6,4,0,2479,1493,0
6,5,0,2414,1553,0
6,6,0,2349,1613,0
6,7,0,2284,1673,0
6,8,0,2219,1733,0
6,9,0,2155,1793,0
6,10,0,2090,1853,0
6,11,0,2025,1913,0
6,12,0,1960,1973,0
6,13,0,1895,2033,0
6,14,0,1830,2093,0
6,15,0,1765,2153,0
6,16,0,1700,2213,0
6,17,0,1635,2273,0
6,18,0,1570,2333,0
6,19,0,1505,2393,0
6,20,0,1440,2453,0
6,21,0,1376,2513,0
6,22,0,1311,2573,0
6,23,0,1246,2633,0
6,24,0,1181,2693,0
6,25,0,1116,2753,0
6,26,0,1051,2813,0
6,27,0,986,2873,0
6,28,0,921,2933,0
6,29,0,856,2993,0
6,30,0,791,3053,0
6,31,0,726,3113,0
6,32,0,661,3173,0
6,33,0,597,3233,0
6,34,0,532,3293,0
6,35,0,467,3353,0
6,36,0,402,3413,0
6,37,0,337,3473,0
6,38,0,272,3533,0
6,39,0,207,3593,0
6,40,0,200,3653,0
6,41,0,200,3713,0
6,42,0,200,3773,0
6,43,0,200,3833,0
6,44,0,200,3893,0
6,45,0,200,3953,0
6,46,0,200,4013,0
6,47,0,200,4073,0
6,48,0,200,4133,0
6,49,0,200,4193,0
6,50,0,200,4253,0
6,51,0,200,4313,0
6,52,0,200,4373,0
6,53,0,200,4433,0
6,54,0,200,4493,0
6,55,0,200,4553,0
6,56,0,200,4613,0
6,57,0,200,4673,0
6,58,0,200,4733,0
6,59,0,200,4793,0
7,0,0,200,4853,0
7,1,0,200,4913,0
7,2,0,200,4973,0
7,3,0,200,5033,0
7,4,0,200,5093,0
7,5,0,200,5153,0
7,6,0,200,5213,0
7,7,0,200,5273,0
7,8,0,200,5333,0
7,9,0,200,5393,0
7,10,0,200,5453,0
7,11,0,200,5513,0
7,12,0,200,5573,0
7,13,0,200,5633,0
7,14,0,200,5693,0
7,15,0,200,5753,0
7,16,0,200,5813,0
7,17,0,200,5873,0
7,18,0,200,5933,0
7,19,0,200,5993,0
7,20,0,200,6053,0
7,21,0,200,6113,0
7,22,0,200,6173,0
7,23,0,200,6233,0
7,24,0,200,6293,0
7,25,0,200,6353,0
7,26,0,200,6413,0
7,27,0,200,6473,0
7,28,0,200,6533,0
7,29,0,200,6593,0
7,30,0,200,6653,0
7,31,0,200,6713,0
7,32,0,200,6773,0
